"","location","alt.dpf","Treatment","adj_Length","minimum","maximum","n","v","se","na.rm","days.post.fert"
"1","Kup",25,"T1",11.3694005263158,8.05392,13.31,76,0.689626727530386,0.0952577340091486,1,25
"2","Kup",25,"T2",15.2585056179775,12.93432,16.67568,89,0.701996620081716,0.0888121752510784,1,25
"3","Kup",25,"T3",14.70336,12.54624,18.9084,49,2.2269344286,0.213184524297614,1,25
"4","Kup",30,"T1",12.7055170967742,9.68,15.409,124,0.834103401032153,0.0820160979985299,1,30
"5","Kup",30,"T2",17.2898754887218,12.984,20.258,133,1.76554989915525,0.115216367204681,1,30
"6","Kup",30,"T3",17.5218468292683,14.0238,22.61532,41,5.0192046539122,0.349885160738742,1,30
"7","Kup",35,"T1",13.7713917808219,11.298,16.156,146,0.846145414552669,0.0761282899980814,1,35
"8","Kup",35,"T2",18.848364559322,13.7818979,23.76,59,3.56308718368208,0.245746430692292,1,35
"9","Kup",35,"T3",20.2222094117647,14.532,26.80104,17,15.1410309409059,0.943741955662042,1,35
"10","Kup",40,"T1",15.3559179354839,12.348,18.069,155,1.12021671135155,0.0850129671836295,1,40
"11","Kup",40,"T2",21.9842049315068,16.323,26.8968,73,6.83485611315312,0.30598719897016,1,40
"12","Kup",40,"T3",23.63018,16.78824,31.1892,18,20.3446782978353,1.06313682347819,1,40
"13","Sag",24,"T2",15.1047456,12.6168,17.03016,25,0.989117587584,0.198908781865859,1,24
"14","Sag",24,"T3",15.2400705882353,12.41184,18.62028,17,2.95350748930588,0.416816188103403,1,24
"15","Sag",25,"T1",10.8415,9.76,11.471,14,0.361529192307693,0.160696962436332,1,25
"16","Sag",30,"T1",13.297264,11.5836,14.801,35,0.623328676395294,0.133451829339846,1,30
"17","Sag",30,"T2",17.6596586666667,14.1708,21.10164,30,2.72271712504644,0.301259418942459,1,30
"18","Sag",30,"T3",17.9606,14.28504,20.5548,15,3.4825327152,0.481839026729882,1,30
"19","Sag",35,"T1",14.0305164912281,12.369,16.9218,57,0.924117668587469,0.127328671857415,1,35
"20","Sag",35,"T2",20.1500258064516,16.177,25.198,31,6.00272766864516,0.440041334885609,1,35
"21","Sag",35,"T3",20.3991133333333,14.992,24.8472,18,7.65673643392941,0.6522072111909,1,35
"22","Sag",39,"T1",15.4170625641026,13.815,17.967,39,0.77626223425641,0.141082103233289,1,39
"23","Sag",39,"T2",22.4512661538462,16.44804,26.3088,26,6.81330438847262,0.511908359755346,1,39
"24","Sag",39,"T3",24.73104,21.75516,26.89596,7,4.2312230016,0.777470532431937,1,39
