"","location","Treatment","family","adj_Length.minimum","adj_Length.maximum","DeltaLn","alt.dpf.minimum","alt.dpf.maximum","DeltaT","SpecGrowth"
"1","Kup","T1","K1",11.7616,16.1389,4.3773,25,40,15,0.29182
"2","Kup","T1","K10",11.0973333333333,14.5732,3.4758666666667,25,40,15,0.231724444444447
"3","Kup","T1","K11",11.1754,15.6472,4.4718,25,40,15,0.29812
"4","Kup","T1","K12",10.4254,14.7094,4.284,25,40,15,0.2856
"5","Kup","T1","K13",11.1126,15.2778,4.1652,25,40,15,0.27768
"6","Kup","T1","K14",12.0852,16.1266,4.0414,25,40,15,0.269426666666667
"7","Kup","T1","K15",10.8274,15.4618,4.6344,25,40,15,0.30896
"8","Kup","T1","K16",11.3184,15.999,4.6806,25,40,15,0.31204
"9","Kup","T1","K2",11.323,15.6544,4.3314,25,40,15,0.28876
"10","Kup","T1","K3",12.2324,15.9665,3.7341,25,40,15,0.24894
"11","Kup","T1","K4",11.7496,15.291,3.5414,25,40,15,0.236093333333333
"12","Kup","T1","K5",12.1168,15.1303,3.0135,25,40,15,0.2009
"13","Kup","T1","K6",8.90022,13.892256,4.992036,25,40,15,0.3328024
"14","Kup","T1","K7",11.6982,15.1502,3.452,25,40,15,0.230133333333333
"15","Kup","T1","K8",12.0716666666667,16.0476,3.9759333333333,25,40,15,0.26506222222222
"16","Kup","T1","K9",10.869,13.8967,3.0277,25,40,15,0.201846666666667
"17","Kup","T2","K1",15.870288,22.7146,6.844312,25,40,15,0.456287466666667
"18","Kup","T2","K10",15.61056,20.388312,4.777752,25,40,15,0.3185168
"19","Kup","T2","K11",14.404152,21.7314,7.327248,25,40,15,0.4884832
"20","Kup","T2","K12",14.04648,20.775888,6.729408,25,40,15,0.4486272
"21","Kup","T2","K13",14.604996,23.9298,9.324804,25,40,15,0.6216536
"22","Kup","T2","K14",15.749685,22.1844,6.434715,25,40,15,0.428981
"23","Kup","T2","K15",15.49464,20.2428,4.74816,25,40,15,0.316544
"24","Kup","T2","K16",14.673792,22.8658,8.192008,25,40,15,0.546133866666667
"25","Kup","T2","K2",15.789144,22.7178333333333,6.9286893333333,25,40,15,0.46191262222222
"26","Kup","T2","K3",15.017856,22.8174,7.799544,25,40,15,0.5199696
"27","Kup","T2","K4",15.210048,20.8378,5.627752,25,40,15,0.375183466666667
"28","Kup","T2","K5",15.391152,21.5534,6.162248,25,40,15,0.410816533333333
"29","Kup","T2","K6",15.63408,22.54098,6.9069,25,40,15,0.46046
"30","Kup","T2","K7",15.898176,24.3212,8.423024,25,40,15,0.561534933333333
"31","Kup","T2","K8",15.691536,19.7556,4.064064,25,35,10,0.4064064
"32","Kup","T2","K9",15.337896,20.3288,4.990904,25,40,15,0.332726933333333
"33","Kup","T3","K16",15.92376,19.554696,3.630936,25,40,15,0.2420624
"34","Kup","T3","K2",15.63156,27.54108,11.90952,25,40,15,0.793968
"36","Kup","T3","K4",13.81044,21.74277,7.93233,25,40,15,0.528822
"37","Kup","T3","K5",16.224936,28.108752,11.883816,25,40,15,0.7922544
"38","Kup","T3","K7",13.6418672727273,20.66232,7.0204527272727,25,40,15,0.46803018181818
"39","Kup","T3","K8",16.472736,31.1892,14.716464,25,40,15,0.9810976
"40","Sag","T1","O1",11.1954,16.1014,4.906,25,39,14,0.350428571428572
"41","Sag","T1","O2",10.9764,14.5344444444444,3.5580444444444,25,39,14,0.254146031746029
"42","Sag","T1","O4",10.2305,15.5964,5.3659,25,39,14,0.383278571428571
"43","Sag","T1","O5",11.764368,15.135288,3.37092,30,39,9,0.374546666666667
"44","Sag","T1","O6",13.8706363636364,15.5783,1.7076636363636,30,39,9,0.1897404040404
"45","Sag","T2","O1",14.964096,19.9971066666667,5.0330106666667,24,39,15,0.335534044444447
"46","Sag","T2","O2",14.509488,21.882504,7.373016,24,39,15,0.4915344
"47","Sag","T2","O4",14.29512,21.37128,7.07616,24,39,15,0.471744
"48","Sag","T2","O5",16.113216,24.726072,8.612856,24,39,15,0.5741904
"49","Sag","T2","O6",15.641808,24.7702,9.128392,24,39,15,0.608559466666667
"50","Sag","T3","O1",16.137912,25.30416,9.166248,24,39,15,0.6110832
"51","Sag","T3","O2",13.67352,18.4933333333333,4.8198133333333,24,35,11,0.438164848484845
"52","Sag","T3","O6",16.5354,24.501792,7.966392,24,39,15,0.5310928
