"","tank","Month","temp_C","minimum","maximum","n","v","se","na.rm"
"1","T1","May",7.1798137737175,6.125,8.375,5692,0.0886308386224109,0.00394602637384495,1
"2","T1","June",6.90455426356589,4.25,10.5,11610,0.141105484392622,0.00348622840503075,1
"3","T1","July",7.2497852725607,6,10.75,8732,0.534673459212696,0.00782505591921742,1
"4","T1","August",7.02209879059655,6,8.625,7359,0.074746440497314,0.00318702783467378,1
"5","T2","May",11.7145653563439,10.625,12.375,3129,0.0610192004106866,0.00441601433621644,1
"6","T2","June",11.7153067532066,10.125,13.5,12942,0.0628272724047423,0.00220329883616689,1
"7","T2","July",11.5464221014493,10.125,14.75,9384,0.156814104983071,0.0040878839882242,1
"8","T2","August",11.4802596537949,10.25,12.375,7510,0.0835220726694766,0.00333488347006583,1
"9","T3","May",15.5857371794872,12.625,19.375,7332,0.257203190634957,0.00592279836374474,1
"10","T3","June",15.5923246689554,13,21.125,12234,0.665852655637612,0.00737742545734952,1
"11","T3","July",15.5482749437803,13.625,18,8449,0.203204217839204,0.0049041495353741,1
"12","T3","August",15.457148572132,14.875,15.875,8124,0.0293654403143465,0.00190122405808681,1
